id,name,postalCode,address,status,websiteUrl,lat,lng,openedOn,closedOn,movedToId,category,genres,relatedEntities,notes,sources
1,さぬき市公文書館,769-2396,香川県さぬき市寒川町石田東甲425 寒川第2庁舎内,open,https://www.city.sanuki.kagawa.jp/executive/machidukuri/kobunshokan,,,,,,公文書館,公文書,さぬき市,,
2,21世紀館さんがわ（文化資料展示館）,769-2321,香川県さぬき市寒川町石田東甲927-2,open,https://ew.sanuki.ne.jp/tenjikan/,,,,,,市民ギャラリー,美術,さぬき市,,
3,さぬき市細川林谷記念館,769-2321,香川県さぬき市寒川町石田東甲931,open,https://ew.sanuki.ne.jp/tenjikan/,,,,,,美術館,東洋美術,さぬき市,,
4,平賀源内旧邸,769-2101,香川県さぬき市志度46-1,open,https://hiragagennai.com/,,,,,,建築物,歴史,公益財団法人平賀源内先生顕彰会,,
5,平賀源内記念館,769-2101,香川県さぬき市志度587-1,open,https://hiragagennai.com/,,,,,,博物館,歴史,公益財団法人平賀源内先生顕彰会,,
6,へんろ資料展示室,769-2305,香川県さぬき市前山936 おへんろ交流サロン内,open,https://www.city.sanuki.kagawa.jp/institution/culture/culture_11,,,,,,博物館,歴史,さぬき市,,
7,重要文化財細川家住宅,769-2306,香川県さぬき市多和額東46,open,https://www.city.sanuki.kagawa.jp/institution/culture/culture_13,,,,,,建築物,,さぬき市,,
8,さぬき市天体望遠鏡博物館,769-2306,香川県さぬき市多和助光東30-1（旧多和小学校）,open,https://www.telescope-museum.com/,,,,,,科学博物館,天体,さぬき市,,
9,重要文化財旧恵利家住宅,761-0902,香川県さぬき市大川町富田中3277-1 みろく自然公園内,open,https://www.city.sanuki.kagawa.jp/institution/culture/culture_8,,,,,,建築物,,さぬき市,,
10,さぬき市歴史民俗資料館,761-0902,香川県さぬき市大川町富田中3286 みろく自然公園内,open,https://www.sanuki.ne.jp/rekimin/,,,,,,郷土博物館,歴史,さぬき市,,
11,雨滝自然科学館,761-0902,香川県さぬき市大川町富田中515-2,open,https://www.city.sanuki.kagawa.jp/institution/culture/culture_9,,,,,,科学博物館,,さぬき市,,
12,さぬき市郷土館,769-2401,香川県さぬき市津田町津田106-1,open,https://www.city.sanuki.kagawa.jp/institution/culture/culture_4,,,,,,郷土博物館,歴史,さぬき市,,
13,日本ドルフィンセンター,769-2402,香川県さぬき市津田町鶴羽1520-130,open,https://www.j-dc2.net/,,,,,,水族館,イルカ,株式会社日本ドルフィンセンター,,
14,うたづ海ホタル（宇多津町産業資料館）,769-0201,香川県綾歌郡宇多津町浜一番丁4,open,https://uplaza-utazu.jp/umihotaru/,,,,,,博物館,製塩,"宇多津町, 一般財団法人宇多津町振興財団",,
15,四国水族館,769-0201,香川県綾歌郡宇多津町浜一番丁4,open,https://shikoku-aquarium.jp/,,,,,,水族館,,株式会社四国水族館開発,,
16,伊吹島民俗資料館,768-0071,香川県観音寺市伊吹町479-1,open,,,,,,,郷土博物館,歴史,観音寺市,,
17,観音寺市ふるさと学芸館,769-1615,香川県観音寺市大野原町丸井313 旧紀伊小学校,open,https://www.city.kanonji.kagawa.jp/soshiki/30/12133.html,,,,,,郷土博物館,歴史,観音寺市,,
18,地蔵院萩原寺 宝物館,769-1614,香川県観音寺市大野原町萩原2742,open,,,,,,,博物館,,,,
19,観音寺市ちょうさ会館,769-1601,香川県観音寺市豊浜町姫浜982-1,open,https://www.city.kanonji.kagawa.jp/soshiki/21/327.html,,,,,,郷土博物館,祭り,観音寺市,,
20,観音寺市豊浜郷土資料館（コットンミュージアム）,769-1601,香川県観音寺市豊浜町姫浜982-1,open,https://www.city.kanonji.kagawa.jp/soshiki/30/345.html,,,,,,郷土博物館,,観音寺市,,
21,世界のコイン館,768-0062,香川県観音寺市有明町3-36,open,https://www.city.kanonji.kagawa.jp/soshiki/21/330.html,,,,大平正芳記念館・世界のコイン館は同じ建物,,博物館,貨幣,観音寺市,,
22,大平正芳記念館,768-0062,香川県観音寺市有明町3-36,open,https://www.city.kanonji.kagawa.jp/soshiki/21/13053.html,,,,大平正芳記念館・世界のコイン館は同じ建物,,博物館,歴史,観音寺市,,
23,NEWレオマワールド,761-2405,香川県丸亀市綾歌町栗熊西40-1,open,https://www.newreomaworld.com/,,,,,,テーマパーク,,株式会社レオマユニティー,,
24,レオマヒストリーミュージアム,761-2405,香川県丸亀市綾歌町栗熊西40-1 NEWレオマワールド内,open,https://www.newreomaworld.com/asobu/51216-2/,,,,,,博物館,歴史,株式会社レオマユニティー,,
25,丸亀市立資料館,763-0025,香川県丸亀市一番丁 丸亀城内,open,https://www.city.marugame.lg.jp/page/2857.html,,,,,,郷土博物館,歴史,丸亀市,,
26,丸亀城石垣崩落復旧整備事業PR館,763-0025,香川県丸亀市一番丁 丸亀城内,open,https://www.city.marugame.lg.jp/site/castle/2911.html,,,,,,博物館,城,丸亀市,,
27,丸亀うちわミュージアム,763-0054,香川県丸亀市中津町25-1,open,https://marugameuchiwa.jp/museum,,,,,,博物館,うちわ,"丸亀市, 香川県うちわ協同組合連合会",,
28,中津万象園・丸亀美術館,763-0054,香川県丸亀市中津町25-1,open,http://www.bansyouen.com/,,,,,,"庭園, 美術館",美術,公益財団法人中津万象園保勝会,,
29,丸亀平井美術館,763-0082,香川県丸亀市土器町東8-538,open,https://www.city.marugame.lg.jp/page/3062.html,,,,,,美術館,スペイン現代美術,丸亀市,,
30,あーとらんど ギャラリー,763-0022,香川県丸亀市浜町4,open,https://artland-gallery.jp/,,,,,,ギャラリー,美術,有限会社あーとらんどギャラリー,,
31,丸亀市猪熊弦一郎現代美術館,763-0022,香川県丸亀市浜町80-1,open,https://www.mimoca.jp/,,,,,,美術館,現代美術,丸亀市,,
32,塩飽勤番所跡,763-0223,香川県丸亀市本島町泊81,open,https://www.city.marugame.lg.jp/page/1013.html,,,,,,郷土博物館,歴史,丸亀市,,
33,妙智山正覚院観音寺 宝物館,763-0223,香川県丸亀市本島町泊842,open,https://www.honijma-shogakuin.com/,,,,,,博物館,,,,
34,琴平町立歴史民俗資料館,766-0001,香川県琴平町758-1 琴平町文化会館内,open,https://www.town.kotohira.kagawa.jp/soshiki/3/1367.html,,,,,,郷土博物館,歴史,琴平町,,
35,直島新美術館,761-3110,香川県香川郡直島町3299-73,open,https://benesse-artsite.jp/nnmoa/,,,,,,美術館,美術,株式会社ベネッセホールディングス,,
36,地中美術館,761-3110,香川県香川郡直島町3449-1,open,https://benesse-artsite.jp/art/chichu.html,,,,,,美術館,美術,株式会社ベネッセホールディングス,,
37,ANDO MUSEUM,761-3110,香川県香川郡直島町736-2,open,https://benesse-artsite.jp/art/ando-museum.html,,,,,,美術館,美術,株式会社ベネッセホールディングス,,
38,ベネッセハウス ミュージアム,761-3110,香川県香川郡直島町琴弾地,open,https://benesse-artsite.jp/art/benessehouse-museum.html,,,,ヴァレーギャラリー、シーサイドギャラリーを含む,,美術館,美術,株式会社ベネッセホールディングス,,
39,杉本博司ギャラリー 時の回廊,761-3110,香川県香川郡直島町琴弾地,open,https://benesse-artsite.jp/art/sugimoto-gallery.html,,,,,,美術館,美術,株式会社ベネッセホールディングス,,
40,李禹煥美術館,761-3110,香川県香川郡直島町字倉浦1390,open,https://benesse-artsite.jp/art/lee-ufan.html,,,,,,美術館,美術,株式会社ベネッセホールディングス,,
41,NAGARE STUDIO（流政之美術館）,761-0130,香川県高松市庵治町3183-1,open,https://nagarestudio.jp/,,,,,,美術館,,,,
42,歯ART美術館,761-0130,香川県高松市庵治町生ノ國3180-1,open,http://ha-art.com/,,,,,,"博物館, 美術館","歯, 美術",和田精密歯研株式会社,,
43,Syndicate,760-0047,香川県高松市塩屋町9-9 渡辺ビル 2F 西,open,https://syndicate-tak.com/,,,,,,ギャラリー,,,,
44,高松市塩江美術館,761-1611,香川県高松市塩江町安原上602,open,https://www.city.takamatsu.kagawa.jp/museum/shionoe/,,,,,,美術館,,高松市,,
45,四国村,761-0112,香川県高松市屋島中町91,open,https://www.shikokumura.or.jp/,,,,四国村ミウゼアム、四国村ギャラリーを含む,,博物館,歴史、建築,公益財団法人四国民家博物館,,
46,新屋島水族館,761-0111,香川県高松市屋島東町1785-1,open,https://r.goope.jp/new-yashima-aq/,,,,,,水族館,,屋島水族館株式会社,,
47,屋島寺宝物館,761-0111,香川県高松市屋島東町1808,open,,,,,,,宝物殿,,,,
48,瀬戸内海歴史民俗資料館,761-8001,香川県高松市亀水町1412-2,open,https://www.pref.kagawa.lg.jp/kmuseum/setorekishi/index.html,,,,,,郷土博物館,歴史,香川県,,
49,国指定史跡高松城跡ガイダンス施設 陳列館,760-0030,香川県高松市玉藻町2-1 玉藻公園内,open,https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/maizobunkazai/bunzai_up20240307.html,,,,,,博物館,城,高松市,,
50,香川県立ミュージアム,760-0030,香川県高松市玉藻町5-5,open,https://www.pref.kagawa.lg.jp/kmuseum/kmuseum/index.html,,,,,,郷土博物館,歴史,香川県,,
51,栗林公園商工奨励館,760-0073,香川県高松市栗林町1-20−16 栗林公園内,open,https://ritsuringarden.com/sanukinogeihinkan/,,,,,,博物館,"うどん, 歴史",香川県,,
52,讃岐民芸館,760-0073,香川県高松市栗林町1-20−16 栗林公園内,open,https://ritsuringarden.com/ritsurin/,,,,,,美術館,民藝,香川県,,
53,香川大学博物館,760-8521,香川県高松市幸町1-1,open,https://www.museum.kagawa-u.ac.jp/,,,,,,博物館,,国立大学法人香川大学,,
54,高松市香南歴史民俗郷土館,761-1402,香川県高松市香南町由佐253-1,open,https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/kounanrekishi/index.html,,,,,,郷土博物館,,高松市,,
55,さぬきこどもの国,761-1402,香川県高松市香南町由佐3209,open,https://www.sanuki.or.jp/,,,,,,科学博物館,"乗り物, 科学",公益財団法人香川県児童・青少年健全育成事業団,,
56,讃岐国分寺跡資料館,769-0102,香川県高松市国分寺町国分2177-1,open,https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/sanuki.html,,,,,,郷土博物館,歴史,高松市,,
57,高松市公文書館,769-0192,香川県高松市国分寺町新居1298 国分寺総合センター 2F,open,https://www.city.takamatsu.kagawa.jp/kurashi/shinotorikumi/johokokai/kojinjoho/kobunsho/,,,,,,公文書館,,高松市,,
58,高松市美術館,760-0027,香川県高松市紺屋町10-4,open,https://www.city.takamatsu.kagawa.jp/museum/takamatsu/,,,,,,美術館,美術,高松市,,
59,おにの館,760-0092,香川県高松市女木町15-22,open,https://oninoyakata.mystrikingly.com/,,,,,,博物館,鬼,,,
60,菊池寛記念館,760-0014,香川県高松市昭和町1-2-20 サンクリスタル高松 3F,open,https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/kikuchikan/index.html,,,,,,博物館,,高松市,,
